"rt","key_press","block_duration","possible_responses","stim_duration","exp_stage","correct","correct_response","flanker_middle_direction","flanker_type","flanker_location","cue","trial_num","p","t","condition","experience","current","breath","group"
773,39,773,"37,39",773,"test","true",39,"right","neutral","up","center",31,"10","2","Control","Low","Low","HIgh","Reading"
1043,39,1043,"37,39",1043,"test","true",39,"right","congruent","down","nocue",32,"10","2","Control","Low","Low","HIgh","Reading"
626,39,626,"37,39",626,"test","true",39,"right","neutral","up","nocue",33,"10","2","Control","Low","Low","HIgh","Reading"
956,37,956,"37,39",956,"test","true",37,"left","congruent","up","nocue",34,"10","2","Control","Low","Low","HIgh","Reading"
1162,39,1162,"37,39",1162,"test","true",39,"right","incongruent","up","nocue",35,"10","2","Control","Low","Low","HIgh","Reading"
934,39,934,"37,39",934,"test","true",39,"right","neutral","down","nocue",36,"10","2","Control","Low","Low","HIgh","Reading"
1079,39,1079,"37,39",1079,"test","true",39,"right","incongruent","up","spatial",37,"10","2","Control","Low","Low","HIgh","Reading"
551,37,551,"37,39",551,"test","true",37,"left","neutral","down","spatial",38,"10","2","Control","Low","Low","HIgh","Reading"
940,39,940,"37,39",940,"test","true",39,"right","neutral","down","center",39,"10","2","Control","Low","Low","HIgh","Reading"
780,39,780,"37,39",780,"test","true",39,"right","congruent","down","center",40,"10","2","Control","Low","Low","HIgh","Reading"
715,37,715,"37,39",715,"test","true",37,"left","incongruent","up","center",41,"10","2","Control","Low","Low","HIgh","Reading"
1096,39,1096,"37,39",1096,"test","true",39,"right","incongruent","down","nocue",42,"10","2","Control","Low","Low","HIgh","Reading"
579,37,579,"37,39",579,"test","true",37,"left","incongruent","down","spatial",43,"10","2","Control","Low","Low","HIgh","Reading"
1060,37,1060,"37,39",1060,"test","true",37,"left","incongruent","up","spatial",44,"10","2","Control","Low","Low","HIgh","Reading"
462,37,462,"37,39",462,"test","true",37,"left","congruent","up","spatial",45,"10","2","Control","Low","Low","HIgh","Reading"
767,37,767,"37,39",767,"test","true",37,"left","congruent","down","spatial",46,"10","2","Control","Low","Low","HIgh","Reading"
438,37,438,"37,39",438,"test","true",37,"left","neutral","up","spatial",47,"10","2","Control","Low","Low","HIgh","Reading"
863,39,863,"37,39",863,"test","true",39,"right","neutral","down","double",48,"10","2","Control","Low","Low","HIgh","Reading"
760,39,760,"37,39",760,"test","true",39,"right","congruent","up","center",49,"10","2","Control","Low","Low","HIgh","Reading"
975,37,975,"37,39",975,"test","true",37,"left","incongruent","down","double",50,"10","2","Control","Low","Low","HIgh","Reading"
711,37,711,"37,39",711,"test","true",37,"left","incongruent","down","spatial",51,"10","2","Control","Low","Low","HIgh","Reading"
792,39,792,"37,39",792,"test","true",39,"right","incongruent","down","spatial",52,"10","2","Control","Low","Low","HIgh","Reading"
727,39,727,"37,39",727,"test","true",39,"right","congruent","up","spatial",53,"10","2","Control","Low","Low","HIgh","Reading"
680,37,680,"37,39",680,"test","true",37,"left","congruent","up","center",54,"10","2","Control","Low","Low","HIgh","Reading"
824,39,824,"37,39",824,"test","true",39,"right","neutral","up","center",55,"10","2","Control","Low","Low","HIgh","Reading"
865,39,865,"37,39",865,"test","true",39,"right","incongruent","up","center",57,"10","2","Control","Low","Low","HIgh","Reading"
462,37,462,"37,39",462,"test","true",37,"left","incongruent","up","center",58,"10","2","Control","Low","Low","HIgh","Reading"
749,39,749,"37,39",749,"test","true",39,"right","congruent","up","nocue",59,"10","2","Control","Low","Low","HIgh","Reading"
722,39,722,"37,39",722,"test","true",39,"right","incongruent","up","double",60,"10","2","Control","Low","Low","HIgh","Reading"
633,39,633,"37,39",633,"test","true",39,"right","incongruent","up","spatial",61,"10","2","Control","Low","Low","HIgh","Reading"
942,37,942,"37,39",942,"test","true",37,"left","congruent","down","nocue",62,"10","2","Control","Low","Low","HIgh","Reading"
673,37,673,"37,39",673,"test","true",37,"left","neutral","up","center",63,"10","2","Control","Low","Low","HIgh","Reading"
677,39,677,"37,39",677,"test","true",39,"right","congruent","up","double",64,"10","2","Control","Low","Low","HIgh","Reading"
729,37,729,"37,39",729,"test","true",37,"left","congruent","down","double",65,"10","2","Control","Low","Low","HIgh","Reading"
553,37,553,"37,39",553,"test","true",37,"left","neutral","down","spatial",66,"10","2","Control","Low","Low","HIgh","Reading"
1183,39,1183,"37,39",1183,"test","true",39,"right","congruent","down","center",67,"10","2","Control","Low","Low","HIgh","Reading"
723,37,723,"37,39",723,"test","true",37,"left","congruent","up","double",68,"10","2","Control","Low","Low","HIgh","Reading"
1280,39,1280,"37,39",1280,"test","true",39,"right","neutral","down","double",69,"10","2","Control","Low","Low","HIgh","Reading"
746,37,746,"37,39",746,"test","true",37,"left","incongruent","up","nocue",70,"10","2","Control","Low","Low","HIgh","Reading"
471,37,471,"37,39",471,"test","true",37,"left","congruent","up","spatial",71,"10","2","Control","Low","Low","HIgh","Reading"
